Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
ANL-2392,283764,,Готово,18.03.2024 11:03 ,20.03.2024 13:56 ,balitskayaav,2.0,Запрос на выгрузку инфы по срокам раскрытия сбр для пик,balitskayaav
ANL-2386,283401,,Готово,14.03.2024 17:57 ,20.03.2024 10:05 ,mikhaelyanta,2.0,Перевести отчет на DM,mikhaelyanta
ANL-2384,283264,,Готово,14.03.2024 11:40 ,18.03.2024 11:12 ,flerinvs,,Неипотечный отчет по СО ANL-2190 (часть_3),flerinvs
ANL-2336,279522,,Готово,26.02.2024 15:59 ,18.03.2024 11:12 ,flerinvs,3.0,Доработка операционного отчета ВТБ,flerinvs
ANL-2298,275077,,Готово,02.02.2024 14:57 ,18.03.2024 11:01 ,flerinvs,,Добавить исторические данные в дашборд Сделке онлайн в superset,tatiankoaa
ANL-2274,273843,,Hold,29.01.2024 14:58 ,15.03.2024 12:02 ,nikishinpa,3.0,Корректировка отчета о незавершенных электронных накладных,nikishinpa
ANL-2371,281706,,Готово,06.03.2024 15:25 ,15.03.2024 11:57 ,nikishinpa,5.0,Не ипотечные сделки Банка ВТБ,flerinvs
ANL-2275,273875,,Готово,29.01.2024 16:12 ,15.03.2024 11:48 ,balitskayaav,5.0,Перенос дашборда по межрегиональным сделкам,nikitindd
ANL-2389,283455,,Готово,15.03.2024 09:49 ,15.03.2024 09:50 ,balitskayaav,1.0,выгрузка бфа девелопмент,balitskayaav
ANL-2378,282232,,Готово,11.03.2024 09:24 ,14.03.2024 21:47 ,balitskayaav,3.0,Рефакторинг скрипта по межрегион сделкам,balitskayaav
ANL-2352,280596,,Готово,01.03.2024 09:57 ,14.03.2024 21:47 ,balitskayaav,3.0,Дашборд по работе экспертов в сервисе ООН_отказ/одобрено/возврат,ivanovamv
ANL-2375,281767,,Готово,06.03.2024 17:34 ,14.03.2024 19:30 ,mikhaelyanta,2.0,ЭР для DWH,mikhaelyanta
ANL-2366,281281,,Готово,05.03.2024 12:49 ,14.03.2024 17:57 ,mikhaelyanta,3.0,Доработка отчета по УКЭП,mikhaelyanta
ANL-2354,280624,,Готово,01.03.2024 10:27 ,14.03.2024 11:36 ,flerinvs,5.0,Перенос SBR SLT на SS_ANL-2190 (часть_2),flerinvs
ANL-2071,260167,,Готово,14.11.2023 13:02 ,11.03.2024 19:17 ,mikhaelyanta,3.0,Отчет по всем типам УКЭП в разрезе партнеров и сроков действия УК,kovievanv
ANL-2297,275030,,Готово,02.02.2024 13:17 ,11.03.2024 12:50 ,nikishinpa,5.0,3)Корректировки витрины MBO,nikishinpa
ANL-2355,280629,,Готово,01.03.2024 10:40 ,11.03.2024 12:01 ,nikishinpa,2.0,Провести ревизию в файлах,nikishinpa
ANL-2372,281713,,Готово,06.03.2024 15:44 ,07.03.2024 18:49 ,balitskayaav,1.0,Пофиксить условие на именование банка в ИЖС СБР,balitskayaav
ANL-2353,280606,,Готово,01.03.2024 10:07 ,07.03.2024 12:03 ,mikhaelyanta,3.0,Ревью и сбор отчета по ЭР ВТБ СМБ,mikhaelyanta
ANL-2373,281718,,Готово,06.03.2024 15:46 ,07.03.2024 10:49 ,balitskayaav,1.0,Выгрузить УКЭП за февраль,balitskayaav
ANL-2282,274211,,Готово,30.01.2024 16:51 ,06.03.2024 15:25 ,nikishinpa,5.0,Неипотека - формирование нового формата отчета,nikishinpa
ANL-2361,280914,,Готово,04.03.2024 09:16 ,06.03.2024 10:41 ,mikhaelyanta,1.0,Посчитать количество полученных пакетов в СУП холдингом ГК ФСК (ОГРН 5167746261997) за 3 месяца,sheremetevtv
ANL-2324,277935,,Закрыт,15.02.2024 20:24 ,05.03.2024 23:38 ,flerinvs,,выгрузка партнеров за 2023 по продукту Сделке,letutaav
ANL-2360,280746,,Готово,01.03.2024 14:13 ,05.03.2024 23:32 ,flerinvs,2.0,починить отчет райфа,flerinvs
ANL-2063,259819,,Готово,13.11.2023 13:26 ,05.03.2024 12:50 ,mikhaelyanta,5.0,Отчет по УКЭП используемых в ЭР и СУП,kovievanv
ANL-2328,278317,,Готово,19.02.2024 10:40 ,04.03.2024 12:42 ,flerinvs,5.0,Перенос SBR SLT на SS_ANL-2190,flerinvs
ANL-2226,270589,,Готово,12.01.2024 10:16 ,04.03.2024 12:42 ,flerinvs,2.0,Добавить поля в дашборд Сделка в superset,tatiankoaa
ANL-2334,279368,,Закрыт,26.02.2024 10:25 ,04.03.2024 12:16 ,balitskayaav,3.0,Простыня СБР: корректировка и добавление полей часть 2,balitskayaav
ANL-2340,280372,,Готово,29.02.2024 14:43 ,04.03.2024 11:57 ,nikishinpa,2.0,Предоставить выгрузки по всем полям из витрин для отчетов по доле,nikishinpa
